transaction_id,merchant_id,transaction_date,transaction_amount,currency,payment_method,status,failure_reason,country,customer_id
TXN000050,M0057,2024-01-03 1:00:00,459.35,GBP,mobile_money,successful,,Kenya,C00623
TXN000051,M0057,2024-01-03 2:00:00,517.44,KES,crypto,successful,,USA,C00612
TXN000052,M0075,2024-01-03 3:00:00,88.89,NGN,bank_transfer,successful,,Kenya,C00952
TXN000053,M0027,2024-01-03 4:00:00,90.11,GBP,crypto,successful,,Germany,C00656
TXN000054,M0043,2024-01-03 5:00:00,919.11,EUR,credit_card,successful,,USA,C00264
TXN000055,M0003,2024-01-03 6:00:00,238.94,KES,crypto,successful,,Nigeria,C00363
TXN000056,M0083,2024-01-03 7:00:00,408.86,KES,mobile_money,successful,,USA,C00579
TXN000057,M0003,2024-01-03 8:00:00,264.53,USD,credit_card,successful,,Canada,C00894
TXN000058,M0051,2024-01-03 9:00:00,300.37,USD,bank_transfer,failed,,Germany,C00434
TXN000059,M0010,2024-01-03 10:00:00,767.9,GBP,credit_card,successful,,USA,C00253
TXN000060,M0056,2024-01-03 11:00:00,806.05,NGN,bank_transfer,successful,,USA,C00459
TXN000061,M0022,2024-01-03 12:00:00,857.77,USD,bank_transfer,successful,,Nigeria,C00007
TXN000062,M0069,2024-01-03 13:00:00,150.99,USD,bank_transfer,successful,,USA,C00722
TXN000063,M0083,2024-01-03 14:00:00,250.87,EUR,mobile_money,successful,,Canada,C00758
TXN000064,M0007,2024-01-03 15:00:00,404.88,KES,mobile_money,successful,,Canada,C00290
TXN000065,M0048,2024-01-03 16:00:00,321.1,GBP,crypto,failed,,Germany,C00191
TXN000066,M0020,2024-01-03 17:00:00,77.49,NGN,credit_card,chargeback,,Kenya,C00526
TXN000067,M0085,2024-01-03 18:00:00,418.24,KES,credit_card,successful,,Nigeria,C00828
TXN000068,M0067,2024-01-03 19:00:00,67.51,EUR,bank_transfer,chargeback,,Kenya,C00996
TXN000069,M0098,2024-01-03 20:00:00,519.05,NGN,mobile_money,successful,,Canada,C00717
TXN000070,M0016,2024-01-03 21:00:00,49.58,USD,crypto,successful,,Kenya,C00409
TXN000071,M0041,2024-01-03 22:00:00,728.58,KES,credit_card,successful,,Canada,C00062
TXN000072,M0017,2024-01-03 23:00:00,999.21,USD,credit_card,successful,,USA,C00633
TXN000073,M0059,2024-01-04 0:00:00,833.7,EUR,bank_transfer,successful,,UK,C00262
TXN000074,M0059,2024-01-04 1:00:00,975.01,EUR,bank_transfer,successful,,UK,C00948
TXN000075,M0076,2024-01-04 2:00:00,798.73,USD,credit_card,successful,,Nigeria,C00325
TXN000076,M0068,2024-01-04 3:00:00,131.16,USD,crypto,successful,,Nigeria,C00101
TXN000077,M0003,2024-01-04 4:00:00,557.87,KES,credit_card,successful,,Canada,C00465
TXN000078,M0055,2024-01-04 5:00:00,835.14,NGN,mobile_money,successful,,Kenya,C00284
TXN000079,M0068,2024-01-04 6:00:00,241.62,NGN,bank_transfer,successful,,Canada,C00219
TXN000080,M0080,2024-01-04 7:00:00,162.13,KES,mobile_money,successful,,Germany,C00268
TXN000081,M0061,2024-01-04 8:00:00,593.76,KES,bank_transfer,successful,,UK,C00684
TXN000082,M0044,2024-01-04 9:00:00,746.64,EUR,mobile_money,failed,,Nigeria,C00170
TXN000083,M0032,2024-01-04 10:00:00,36.44,USD,mobile_money,successful,,Canada,C00636
TXN000084,M0009,2024-01-04 11:00:00,344.41,EUR,bank_transfer,successful,,Kenya,C00838
TXN000085,M0046,2024-01-04 12:00:00,918.57,NGN,bank_transfer,successful,,Kenya,C00032
TXN000086,M0052,2024-01-04 13:00:00,365.48,GBP,crypto,failed,,Canada,C00184
TXN000087,M0044,2024-01-04 14:00:00,68.72,NGN,credit_card,successful,,Kenya,C00672
TXN000088,M0037,2024-01-04 15:00:00,270.12,NGN,credit_card,successful,,Germany,C00397
TXN000089,M0045,2024-01-04 16:00:00,735.93,NGN,bank_transfer,successful,,Canada,C00490
TXN000090,M0026,2024-01-04 17:00:00,805.55,EUR,crypto,successful,,USA,C00055
TXN000091,M0008,2024-01-04 18:00:00,468.52,GBP,credit_card,refunded,,Canada,C00489
TXN000092,M0046,2024-01-04 19:00:00,168.08,NGN,crypto,successful,,Germany,C00230
TXN000093,M0057,2024-01-04 20:00:00,564.12,KES,credit_card,successful,,Canada,C00977
TXN000094,M0094,2024-01-04 21:00:00,611.81,NGN,credit_card,successful,,Germany,C00934
TXN000095,M0094,2024-01-04 22:00:00,703.71,EUR,credit_card,successful,,USA,C00571
TXN000096,M0028,2024-01-04 23:00:00,167.88,GBP,crypto,chargeback,,Germany,C00851
TXN000097,M0008,2024-01-05 0:00:00,734.71,NGN,mobile_money,successful,,Germany,C00856
TXN000098,M0041,2024-01-05 1:00:00,833.22,KES,bank_transfer,successful,,UK,C00548
TXN000099,M0073,2024-01-05 2:00:00,523.04,EUR,bank_transfer,successful,,Canada,C00070
TXN000100,M0013,2024-01-05 3:00:00,629.54,GBP,mobile_money,successful,,UK,C00371
TXN000101,M0064,2024-01-05 4:00:00,328.56,KES,credit_card,successful,,USA,C00432
TXN000102,M0047,2024-01-05 5:00:00,753.27,NGN,credit_card,successful,,UK,C00541
TXN000103,M0071,2024-01-05 6:00:00,408.5,KES,crypto,successful,,Canada,C00639
TXN000104,M0017,2024-01-05 7:00:00,74.69,GBP,bank_transfer,failed,,Germany,C00419
TXN000105,M0031,2024-01-05 8:00:00,197.94,GBP,crypto,successful,,USA,C00238
TXN000106,M0073,2024-01-05 9:00:00,918.54,EUR,crypto,successful,,Canada,C00563
TXN000107,M0033,2024-01-05 10:00:00,765.22,KES,bank_transfer,successful,,Kenya,C00735
TXN000108,M0026,2024-01-05 11:00:00,936.59,KES,credit_card,successful,,Canada,C00199
TXN000109,M0003,2024-01-05 12:00:00,764.52,KES,credit_card,successful,,USA,C00142
TXN000110,M0027,2024-01-05 13:00:00,444.03,NGN,bank_transfer,successful,,Germany,C00048
TXN000111,M0002,2024-01-05 14:00:00,784.9,KES,credit_card,failed,,Canada,C00923
TXN000112,M0002,2024-01-05 15:00:00,501.06,GBP,bank_transfer,successful,,USA,C00340
TXN000113,M0029,2024-01-05 16:00:00,959.54,KES,credit_card,successful,,UK,C00372
TXN000114,M0058,2024-01-05 17:00:00,651.77,EUR,bank_transfer,failed,,Kenya,C00812
TXN000115,M0030,2024-01-05 18:00:00,833.97,USD,credit_card,failed,,Nigeria,C00260
TXN000116,M0100,2024-01-05 19:00:00,106.09,NGN,credit_card,refunded,,Kenya,C00766
TXN000117,M0095,2024-01-05 20:00:00,931.27,KES,credit_card,chargeback,,Kenya,C00252
TXN000118,M0008,2024-01-05 21:00:00,672.71,USD,bank_transfer,successful,,USA,C00030
TXN000119,M0067,2024-01-05 22:00:00,384.24,KES,crypto,successful,,Germany,C00617
TXN000120,M0012,2024-01-05 23:00:00,518.95,EUR,credit_card,successful,,UK,C00732
TXN000121,M0051,2024-01-06 0:00:00,705.01,EUR,credit_card,successful,,Canada,C00813
TXN000122,M0039,2024-01-06 1:00:00,181.38,KES,mobile_money,failed,,USA,C00743
TXN000123,M0083,2024-01-06 2:00:00,330.2,NGN,bank_transfer,failed,,Germany,C00486
TXN000124,M0087,2024-01-06 3:00:00,545.24,USD,crypto,successful,,Kenya,C00003
TXN000125,M0014,2024-01-06 4:00:00,785,USD,mobile_money,successful,,Canada,C00557
TXN000126,M0001,2024-01-06 5:00:00,302.72,KES,crypto,successful,,Canada,C00835
TXN000127,M0018,2024-01-06 6:00:00,831.65,NGN,mobile_money,successful,,Nigeria,C00614
TXN000128,M0007,2024-01-06 7:00:00,68.15,USD,crypto,successful,,Germany,C00323
TXN000129,M0099,2024-01-06 8:00:00,248.85,GBP,mobile_money,successful,,Canada,C00524
TXN000130,M0003,2024-01-06 9:00:00,594.14,EUR,credit_card,successful,,USA,C00305
TXN000131,M0006,2024-01-06 10:00:00,941.2,NGN,credit_card,successful,,USA,C00027
TXN000132,M0002,2024-01-06 11:00:00,62.37,KES,mobile_money,failed,,Germany,C00785
TXN000133,M0078,2024-01-06 12:00:00,750.46,NGN,bank_transfer,successful,,USA,C00921
TXN000134,M0010,2024-01-06 13:00:00,137.99,NGN,bank_transfer,successful,,Canada,C00965
TXN000135,M0087,2024-01-06 14:00:00,112.02,USD,mobile_money,failed,,Nigeria,C00546
TXN000136,M0033,2024-01-06 15:00:00,965.06,GBP,mobile_money,successful,,Germany,C00168
TXN000137,M0030,2024-01-06 16:00:00,306.49,USD,crypto,failed,,Canada,C00405
TXN000138,M0025,2024-01-06 17:00:00,7.02,NGN,credit_card,successful,,Germany,C00847
TXN000139,M0039,2024-01-06 18:00:00,71.45,NGN,crypto,successful,,Kenya,C00686
TXN000140,M0033,2024-01-06 19:00:00,634.17,KES,crypto,chargeback,,Nigeria,C00645
TXN000141,M0009,2024-01-06 20:00:00,133.56,EUR,bank_transfer,successful,,Nigeria,C00045
TXN000142,M0076,2024-01-06 21:00:00,123.4,KES,bank_transfer,successful,,Kenya,C00526
TXN000143,M0100,2024-01-06 22:00:00,278.4,GBP,credit_card,successful,,USA,C00090
TXN000144,M0089,2024-01-06 23:00:00,941.47,GBP,crypto,successful,,Canada,C00652
TXN000145,M0091,2024-01-07 0:00:00,282.41,GBP,bank_transfer,successful,,Kenya,C00322
TXN000146,M0052,2024-01-07 1:00:00,220.48,GBP,crypto,successful,,UK,C00495
TXN000147,M0086,2024-01-07 2:00:00,640.99,GBP,credit_card,successful,,USA,C00929
TXN000148,M0090,2024-01-07 3:00:00,511.13,NGN,bank_transfer,successful,,USA,C00591
TXN000149,M0068,2024-01-07 4:00:00,151.21,GBP,credit_card,successful,,Germany,C00395
TXN000150,M0040,2024-01-07 5:00:00,76.21,USD,crypto,successful,,Nigeria,C00598
TXN000151,M0056,2024-01-07 6:00:00,100.13,KES,mobile_money,successful,,Canada,C00661
TXN000152,M0064,2024-01-07 7:00:00,902.82,USD,bank_transfer,successful,,USA,C00664
TXN000153,M0004,2024-01-07 8:00:00,326.76,KES,crypto,successful,,Nigeria,C00006
TXN000154,M0065,2024-01-07 9:00:00,681.32,EUR,mobile_money,successful,,USA,C00441
TXN000155,M0019,2024-01-07 10:00:00,855.14,EUR,bank_transfer,successful,,Nigeria,C00100
TXN000156,M0050,2024-01-07 11:00:00,847.35,USD,bank_transfer,successful,,Canada,C00533
TXN000157,M0077,2024-01-07 12:00:00,203.81,GBP,crypto,successful,,UK,C00342
TXN000158,M0045,2024-01-07 13:00:00,342.11,KES,bank_transfer,successful,,USA,C00492
TXN000159,M0009,2024-01-07 14:00:00,102.3,GBP,mobile_money,successful,,Kenya,C00548
TXN000160,M0072,2024-01-07 15:00:00,684.3,EUR,bank_transfer,successful,,USA,C00077
TXN000161,M0072,2024-01-07 16:00:00,772.89,KES,mobile_money,successful,,UK,C00581
TXN000162,M0034,2024-01-07 17:00:00,810.3,NGN,bank_transfer,successful,,USA,C00052
TXN000163,M0031,2024-01-07 18:00:00,91.44,USD,bank_transfer,successful,,Canada,C00678
TXN000164,M0056,2024-01-07 19:00:00,5.93,NGN,crypto,successful,,Germany,C00491
TXN000165,M0050,2024-01-07 20:00:00,611.58,USD,credit_card,refunded,,Germany,C00963
TXN000166,M0028,2024-01-07 21:00:00,725.61,GBP,credit_card,successful,,UK,C00871
TXN000167,M0008,2024-01-07 22:00:00,830.23,EUR,bank_transfer,successful,,Kenya,C00841
TXN000168,M0061,2024-01-07 23:00:00,468.86,GBP,credit_card,successful,,USA,C00675
TXN000169,M0030,2024-01-08 0:00:00,925.54,GBP,crypto,successful,,UK,C00566
TXN000170,M0028,2024-01-08 1:00:00,262.15,EUR,mobile_money,successful,,Canada,C00982
TXN000171,M0083,2024-01-08 2:00:00,947.32,GBP,mobile_money,successful,,Germany,C00211
TXN000172,M0023,2024-01-08 3:00:00,225.13,KES,crypto,successful,,Kenya,C00723
TXN000173,M0071,2024-01-08 4:00:00,629.32,GBP,mobile_money,successful,,UK,C00001
TXN000174,M0036,2024-01-08 5:00:00,214.67,GBP,mobile_money,successful,,USA,C00134
TXN000175,M0023,2024-01-08 6:00:00,735.42,NGN,bank_transfer,failed,,Canada,C00813
TXN000176,M0064,2024-01-08 7:00:00,558.28,KES,bank_transfer,successful,,USA,C00185
TXN000177,M0094,2024-01-08 8:00:00,592.77,KES,crypto,successful,,Kenya,C00374
TXN000178,M0057,2024-01-08 9:00:00,765.06,GBP,bank_transfer,successful,,Canada,C00081
TXN000179,M0080,2024-01-08 10:00:00,298.85,EUR,credit_card,successful,,Nigeria,C00627
TXN000180,M0067,2024-01-08 11:00:00,94.52,KES,bank_transfer,successful,,Germany,C00429
TXN000181,M0034,2024-01-08 12:00:00,469.91,GBP,bank_transfer,successful,,UK,C00294
TXN000182,M0039,2024-01-08 13:00:00,777.53,EUR,bank_transfer,refunded,Card expired,UK,C00458
TXN000183,M0015,2024-01-08 14:00:00,708.71,GBP,bank_transfer,successful,,Kenya,C00371
TXN000184,M0044,2024-01-08 15:00:00,367.11,EUR,bank_transfer,successful,,Canada,C00263
TXN000185,M0034,2024-01-08 16:00:00,451.2,GBP,bank_transfer,successful,,UK,C00684
TXN000186,M0052,2024-01-08 17:00:00,744.96,KES,bank_transfer,chargeback,,UK,C00632
TXN000187,M0057,2024-01-08 18:00:00,607.26,GBP,mobile_money,failed,,Canada,C00418
TXN000188,M0059,2024-01-08 19:00:00,198.48,KES,credit_card,successful,,Germany,C00671
TXN000189,M0079,2024-01-08 20:00:00,566.97,NGN,crypto,successful,,Germany,C00909
TXN000190,M0037,2024-01-08 21:00:00,396.56,GBP,crypto,failed,,Germany,C00765
TXN000191,M0017,2024-01-08 22:00:00,488.29,NGN,mobile_money,successful,,USA,C00013
TXN000192,M0054,2024-01-08 23:00:00,759.28,NGN,crypto,successful,,USA,C00962
TXN000193,M0083,2024-01-09 0:00:00,892.54,NGN,bank_transfer,successful,,Canada,C00057
TXN000194,M0069,2024-01-09 1:00:00,72.53,EUR,bank_transfer,successful,,Canada,C00644
TXN000195,M0055,2024-01-09 2:00:00,978.01,USD,crypto,successful,,Kenya,C00930
TXN000196,M0085,2024-01-09 3:00:00,639.69,KES,credit_card,successful,,Canada,C00925
TXN000197,M0042,2024-01-09 4:00:00,770.65,NGN,credit_card,successful,,Germany,C00377
TXN000198,M0098,2024-01-09 5:00:00,480.45,EUR,mobile_money,successful,,USA,C00895
TXN000199,M0056,2024-01-09 6:00:00,118.33,KES,credit_card,successful,,Canada,C00980
TXN000200,M0075,2024-01-09 7:00:00,846,EUR,credit_card,successful,,Nigeria,C00072
TXN000201,M0007,2024-01-09 8:00:00,170.94,USD,credit_card,failed,,Canada,C00021
TXN000202,M0092,2024-01-09 9:00:00,736.5,USD,crypto,successful,,Canada,C00851
TXN000203,M0019,2024-01-09 10:00:00,243.74,USD,crypto,chargeback,,UK,C00995
TXN000204,M0061,2024-01-09 11:00:00,311.01,USD,bank_transfer,successful,,UK,C00733
TXN000205,M0051,2024-01-09 12:00:00,800.45,NGN,mobile_money,successful,,Canada,C00361
TXN000206,M0039,2024-01-09 13:00:00,562.02,USD,credit_card,successful,,USA,C00877
TXN000207,M0072,2024-01-09 14:00:00,929.89,NGN,bank_transfer,successful,,Kenya,C00999
TXN000208,M0019,2024-01-09 15:00:00,234.68,KES,mobile_money,failed,,Nigeria,C00276
TXN000209,M0047,2024-01-09 16:00:00,402.8,KES,crypto,successful,,UK,C00244
TXN000210,M0067,2024-01-09 17:00:00,461.03,USD,mobile_money,failed,,Nigeria,C00329
TXN000211,M0044,2024-01-09 18:00:00,328.3,EUR,bank_transfer,chargeback,,Canada,C00113
TXN000212,M0080,2024-01-09 19:00:00,190.6,NGN,crypto,failed,,UK,C00508
TXN000213,M0063,2024-01-09 20:00:00,322.01,NGN,credit_card,successful,,Kenya,C00040
TXN000214,M0095,2024-01-09 21:00:00,864.03,KES,credit_card,successful,,USA,C00975
TXN000215,M0018,2024-01-09 22:00:00,663.9,EUR,mobile_money,successful,,Germany,C00286
TXN000216,M0025,2024-01-09 23:00:00,668.26,KES,crypto,successful,,UK,C00899
TXN000217,M0032,2024-01-10 0:00:00,16.01,NGN,credit_card,successful,,Germany,C00047
TXN000218,M0027,2024-01-10 1:00:00,962.68,EUR,crypto,successful,,UK,C00135
TXN000219,M0022,2024-01-10 2:00:00,297.5,NGN,credit_card,successful,,Kenya,C00046
TXN000220,M0080,2024-01-10 3:00:00,753.06,EUR,bank_transfer,successful,,UK,C00094
TXN000221,M0076,2024-01-10 4:00:00,358.52,EUR,crypto,successful,,UK,C00099
TXN000222,M0049,2024-01-10 5:00:00,357.79,EUR,credit_card,successful,,Kenya,C00049
TXN000223,M0080,2024-01-10 6:00:00,109.41,USD,credit_card,successful,,Kenya,C00559
TXN000224,M0066,2024-01-10 7:00:00,932.88,NGN,bank_transfer,successful,,Germany,C00882
TXN000225,M0016,2024-01-10 8:00:00,432.4,GBP,credit_card,successful,,USA,C00335
TXN000226,M0063,2024-01-10 9:00:00,193.77,KES,bank_transfer,failed,,USA,C00077
TXN000227,M0014,2024-01-10 10:00:00,456.43,EUR,credit_card,successful,,USA,C00522
TXN000228,M0093,2024-01-10 11:00:00,303.01,USD,crypto,successful,,UK,C00525
TXN000229,M0045,2024-01-10 12:00:00,35.18,NGN,bank_transfer,successful,,UK,C00866
TXN000230,M0047,2024-01-10 13:00:00,864.45,GBP,bank_transfer,successful,,USA,C00410
TXN000231,M0030,2024-01-10 14:00:00,401.16,GBP,crypto,failed,,USA,C00172
TXN000232,M0004,2024-01-10 15:00:00,420.62,USD,credit_card,successful,,Nigeria,C00170
TXN000233,M0007,2024-01-10 16:00:00,288.29,EUR,bank_transfer,successful,,Canada,C00284
TXN000234,M0076,2024-01-10 17:00:00,560.92,EUR,mobile_money,successful,,Kenya,C00345
TXN000235,M0053,2024-01-10 18:00:00,936.91,USD,mobile_money,successful,,Canada,C00946
TXN000236,M0092,2024-01-10 19:00:00,205.52,USD,crypto,successful,,UK,C00638
TXN000237,M0055,2024-01-10 20:00:00,40.49,NGN,mobile_money,successful,,USA,C00001
TXN000238,M0019,2024-01-10 21:00:00,597.73,NGN,mobile_money,successful,,Nigeria,C00400
TXN000239,M0063,2024-01-10 22:00:00,780.27,NGN,credit_card,successful,,Kenya,C00391
TXN000240,M0011,2024-01-10 23:00:00,383.73,GBP,mobile_money,successful,,Germany,C00203
TXN000241,M0086,2024-01-11 0:00:00,455.19,GBP,credit_card,successful,,UK,C00148
TXN000242,M0077,2024-01-11 1:00:00,950.85,GBP,mobile_money,successful,,Kenya,C00002
TXN000243,M0055,2024-01-11 2:00:00,201.15,KES,credit_card,successful,,Kenya,C00346
TXN000244,M0098,2024-01-11 3:00:00,334.2,NGN,crypto,successful,,Canada,C00288
TXN000245,M0054,2024-01-11 4:00:00,421.36,KES,mobile_money,successful,,USA,C00558
TXN000246,M0033,2024-01-11 5:00:00,39.5,KES,bank_transfer,successful,,Nigeria,C00607
TXN000247,M0078,2024-01-11 6:00:00,773.74,USD,bank_transfer,successful,,UK,C00781
TXN000248,M0050,2024-01-11 7:00:00,493.54,KES,credit_card,refunded,,UK,C00958
TXN000249,M0050,2024-01-11 8:00:00,517.62,GBP,credit_card,successful,,Canada,C00096
TXN000250,M0026,2024-01-11 9:00:00,10.87,NGN,credit_card,chargeback,Fraud detected,USA,C00681
TXN000251,M0073,2024-01-11 10:00:00,566.18,KES,credit_card,successful,,Canada,C00983
TXN000252,M0091,2024-01-11 11:00:00,766.45,EUR,bank_transfer,successful,,UK,C00595
TXN000253,M0017,2024-01-11 12:00:00,93.77,EUR,mobile_money,successful,,Canada,C00013
TXN000254,M0090,2024-01-11 13:00:00,972.08,EUR,credit_card,successful,,UK,C00283
TXN000255,M0017,2024-01-11 14:00:00,177.5,USD,crypto,successful,,Kenya,C00534
TXN000256,M0045,2024-01-11 15:00:00,374.12,EUR,crypto,successful,,Germany,C00882
TXN000257,M0067,2024-01-11 16:00:00,57.7,KES,bank_transfer,successful,,Nigeria,C00682
TXN000258,M0031,2024-01-11 17:00:00,434.6,KES,bank_transfer,failed,,Germany,C00030
TXN000259,M0038,2024-01-11 18:00:00,403.48,USD,mobile_money,successful,,Germany,C00544
TXN000260,M0091,2024-01-11 19:00:00,220.38,NGN,credit_card,successful,,Kenya,C00441
TXN000261,M0069,2024-01-11 20:00:00,417.77,NGN,bank_transfer,successful,,UK,C00078
TXN000262,M0041,2024-01-11 21:00:00,23.51,NGN,bank_transfer,successful,,Nigeria,C00404
TXN000263,M0035,2024-01-11 22:00:00,490.74,GBP,crypto,successful,,UK,C00943
TXN000264,M0065,2024-01-11 23:00:00,181.99,USD,crypto,successful,,Nigeria,C00109
TXN000265,M0012,2024-01-12 0:00:00,714.39,NGN,bank_transfer,successful,,Nigeria,C00146
TXN000266,M0087,2024-01-12 1:00:00,55.38,KES,bank_transfer,successful,,Kenya,C00598
TXN000267,M0003,2024-01-12 2:00:00,863.45,EUR,mobile_money,successful,,UK,C00914
TXN000268,M0027,2024-01-12 3:00:00,937.95,NGN,credit_card,successful,,Germany,C00268
TXN000269,M0019,2024-01-12 4:00:00,551.14,GBP,bank_transfer,successful,,Nigeria,C00240
TXN000270,M0064,2024-01-12 5:00:00,336.41,USD,crypto,successful,,USA,C00078
TXN000271,M0085,2024-01-12 6:00:00,135.92,USD,mobile_money,successful,,USA,C00405
TXN000272,M0056,2024-01-12 7:00:00,998.69,NGN,mobile_money,successful,,UK,C00075
TXN000273,M0031,2024-01-12 8:00:00,715.38,USD,credit_card,successful,,USA,C00022
TXN000274,M0074,2024-01-12 9:00:00,399.22,KES,mobile_money,successful,,USA,C00824
TXN000275,M0011,2024-01-12 10:00:00,966.33,USD,crypto,successful,,Nigeria,C00688
TXN000276,M0072,2024-01-12 11:00:00,684.29,GBP,mobile_money,successful,,Canada,C00906
TXN000277,M0044,2024-01-12 12:00:00,91.11,USD,mobile_money,successful,,UK,C00984
TXN000278,M0044,2024-01-12 13:00:00,869.16,KES,mobile_money,successful,,Kenya,C00168
TXN000279,M0086,2024-01-12 14:00:00,792.65,USD,bank_transfer,successful,,Canada,C00395
TXN000280,M0018,2024-01-12 15:00:00,906.55,GBP,crypto,successful,,Germany,C00234
TXN000281,M0085,2024-01-12 16:00:00,751.96,EUR,credit_card,successful,,Canada,C00407
TXN000282,M0020,2024-01-12 17:00:00,772.73,NGN,mobile_money,successful,,Canada,C00962
TXN000283,M0066,2024-01-12 18:00:00,252.71,GBP,bank_transfer,successful,,Germany,C00749
TXN000284,M0043,2024-01-12 19:00:00,921.75,NGN,bank_transfer,successful,,Germany,C00220
TXN000285,M0093,2024-01-12 20:00:00,658.52,EUR,credit_card,chargeback,,UK,C00503
TXN000286,M0089,2024-01-12 21:00:00,747.44,NGN,mobile_money,failed,Card expired,USA,C00485
TXN000287,M0031,2024-01-12 22:00:00,845.27,USD,crypto,successful,,Germany,C00530
